what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411626890571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626908779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626913873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626947250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626953084
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626972781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627018355
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411627022545
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411627023884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627042425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627046758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627056110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411627058363
started,bundle,com.aptana.workbench,3.0.0.1367525200,"com.aptana.workbench",1411627064166
started,bundle,com.aptana.index.core,3.0.0.1366033959,"com.aptana.index.core",1411627064186
started,bundle,com.aptana.editor.common,3.0.3.1367525200,"com.aptana.editor.common",1411627064188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627077648
started,bundle,com.aptana.formatter.ui.epl,3.0.0.1348635775,"com.aptana.formatter.ui.epl",1411627097656
started,bundle,com.aptana.formatter.epl,3.2.0.1341615906,"com.aptana.formatter.epl",1411627097659
started,bundle,com.aptana.editor.json,3.0.0.1357856460,"com.aptana.editor.json",1411627097693
started,bundle,com.aptana.editor.html.formatter,3.0.3.1341616068,"com.aptana.editor.html.formatter",1411627097706
started,bundle,com.aptana.parsing,3.0.0.1353527087,"com.aptana.parsing",1411627097743
started,bundle,com.aptana.editor.html,3.0.3.1367525200,"com.aptana.editor.html",1411627097746
started,bundle,com.aptana.editor.php.formatter,3.3.0.1352211917,"com.aptana.editor.php.formatter",1411627097756
started,bundle,com.aptana.buildpath.core,3.1.0.1358388195,"com.aptana.buildpath.core",1411627097756
started,bundle,com.aptana.editor.php,3.3.0.1365773524,"com.aptana.editor.php",1411627097760
